login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,score
tarsius,25046,MDQ6VXNlcjI1MDQ2,https://avatars.githubusercontent.com/u/25046?v=4,,https://api.github.com/users/tarsius,https://github.com/tarsius,https://api.github.com/users/tarsius/followers,https://api.github.com/users/tarsius/following{/other_user},https://api.github.com/users/tarsius/gists{/gist_id},https://api.github.com/users/tarsius/starred{/owner}{/repo},https://api.github.com/users/tarsius/subscriptions,https://api.github.com/users/tarsius/orgs,https://api.github.com/users/tarsius/repos,https://api.github.com/users/tarsius/events{/privacy},https://api.github.com/users/tarsius/received_events,User,public,False,1.0
aalmiray,13969,MDQ6VXNlcjEzOTY5,https://avatars.githubusercontent.com/u/13969?v=4,,https://api.github.com/users/aalmiray,https://github.com/aalmiray,https://api.github.com/users/aalmiray/followers,https://api.github.com/users/aalmiray/following{/other_user},https://api.github.com/users/aalmiray/gists{/gist_id},https://api.github.com/users/aalmiray/starred{/owner}{/repo},https://api.github.com/users/aalmiray/subscriptions,https://api.github.com/users/aalmiray/orgs,https://api.github.com/users/aalmiray/repos,https://api.github.com/users/aalmiray/events{/privacy},https://api.github.com/users/aalmiray/received_events,User,public,False,1.0
marcoroth,6411752,MDQ6VXNlcjY0MTE3NTI=,https://avatars.githubusercontent.com/u/6411752?v=4,,https://api.github.com/users/marcoroth,https://github.com/marcoroth,https://api.github.com/users/marcoroth/followers,https://api.github.com/users/marcoroth/following{/other_user},https://api.github.com/users/marcoroth/gists{/gist_id},https://api.github.com/users/marcoroth/starred{/owner}{/repo},https://api.github.com/users/marcoroth/subscriptions,https://api.github.com/users/marcoroth/orgs,https://api.github.com/users/marcoroth/repos,https://api.github.com/users/marcoroth/events{/privacy},https://api.github.com/users/marcoroth/received_events,User,public,False,1.0
klmr,38931,MDQ6VXNlcjM4OTMx,https://avatars.githubusercontent.com/u/38931?v=4,,https://api.github.com/users/klmr,https://github.com/klmr,https://api.github.com/users/klmr/followers,https://api.github.com/users/klmr/following{/other_user},https://api.github.com/users/klmr/gists{/gist_id},https://api.github.com/users/klmr/starred{/owner}{/repo},https://api.github.com/users/klmr/subscriptions,https://api.github.com/users/klmr/orgs,https://api.github.com/users/klmr/repos,https://api.github.com/users/klmr/events{/privacy},https://api.github.com/users/klmr/received_events,User,public,False,1.0
MrNeRF,33876434,MDQ6VXNlcjMzODc2NDM0,https://avatars.githubusercontent.com/u/33876434?v=4,,https://api.github.com/users/MrNeRF,https://github.com/MrNeRF,https://api.github.com/users/MrNeRF/followers,https://api.github.com/users/MrNeRF/following{/other_user},https://api.github.com/users/MrNeRF/gists{/gist_id},https://api.github.com/users/MrNeRF/starred{/owner}{/repo},https://api.github.com/users/MrNeRF/subscriptions,https://api.github.com/users/MrNeRF/orgs,https://api.github.com/users/MrNeRF/repos,https://api.github.com/users/MrNeRF/events{/privacy},https://api.github.com/users/MrNeRF/received_events,User,public,False,1.0
dpryan79,6399000,MDQ6VXNlcjYzOTkwMDA=,https://avatars.githubusercontent.com/u/6399000?v=4,,https://api.github.com/users/dpryan79,https://github.com/dpryan79,https://api.github.com/users/dpryan79/followers,https://api.github.com/users/dpryan79/following{/other_user},https://api.github.com/users/dpryan79/gists{/gist_id},https://api.github.com/users/dpryan79/starred{/owner}{/repo},https://api.github.com/users/dpryan79/subscriptions,https://api.github.com/users/dpryan79/orgs,https://api.github.com/users/dpryan79/repos,https://api.github.com/users/dpryan79/events{/privacy},https://api.github.com/users/dpryan79/received_events,User,public,False,1.0
ParthS007,24358501,MDQ6VXNlcjI0MzU4NTAx,https://avatars.githubusercontent.com/u/24358501?v=4,,https://api.github.com/users/ParthS007,https://github.com/ParthS007,https://api.github.com/users/ParthS007/followers,https://api.github.com/users/ParthS007/following{/other_user},https://api.github.com/users/ParthS007/gists{/gist_id},https://api.github.com/users/ParthS007/starred{/owner}{/repo},https://api.github.com/users/ParthS007/subscriptions,https://api.github.com/users/ParthS007/orgs,https://api.github.com/users/ParthS007/repos,https://api.github.com/users/ParthS007/events{/privacy},https://api.github.com/users/ParthS007/received_events,User,public,False,1.0
quantumjim,18051574,MDQ6VXNlcjE4MDUxNTc0,https://avatars.githubusercontent.com/u/18051574?v=4,,https://api.github.com/users/quantumjim,https://github.com/quantumjim,https://api.github.com/users/quantumjim/followers,https://api.github.com/users/quantumjim/following{/other_user},https://api.github.com/users/quantumjim/gists{/gist_id},https://api.github.com/users/quantumjim/starred{/owner}{/repo},https://api.github.com/users/quantumjim/subscriptions,https://api.github.com/users/quantumjim/orgs,https://api.github.com/users/quantumjim/repos,https://api.github.com/users/quantumjim/events{/privacy},https://api.github.com/users/quantumjim/received_events,User,public,False,1.0
odan,781074,MDQ6VXNlcjc4MTA3NA==,https://avatars.githubusercontent.com/u/781074?v=4,,https://api.github.com/users/odan,https://github.com/odan,https://api.github.com/users/odan/followers,https://api.github.com/users/odan/following{/other_user},https://api.github.com/users/odan/gists{/gist_id},https://api.github.com/users/odan/starred{/owner}{/repo},https://api.github.com/users/odan/subscriptions,https://api.github.com/users/odan/orgs,https://api.github.com/users/odan/repos,https://api.github.com/users/odan/events{/privacy},https://api.github.com/users/odan/received_events,User,public,False,1.0
JuergenGutsch,365688,MDQ6VXNlcjM2NTY4OA==,https://avatars.githubusercontent.com/u/365688?v=4,,https://api.github.com/users/JuergenGutsch,https://github.com/JuergenGutsch,https://api.github.com/users/JuergenGutsch/followers,https://api.github.com/users/JuergenGutsch/following{/other_user},https://api.github.com/users/JuergenGutsch/gists{/gist_id},https://api.github.com/users/JuergenGutsch/starred{/owner}{/repo},https://api.github.com/users/JuergenGutsch/subscriptions,https://api.github.com/users/JuergenGutsch/orgs,https://api.github.com/users/JuergenGutsch/repos,https://api.github.com/users/JuergenGutsch/events{/privacy},https://api.github.com/users/JuergenGutsch/received_events,User,public,False,1.0
